id,title,watched,release,rating,grade,actor,actorName,actorId,supporting,suppName,suppId,scene,sceneTitle,ending,movie
ABM,A Beautiful Mind,2024,2001,6,B,,,,,,,,,,
AMH,American Hustle,2024,2013,6,B,,,,Nominee,Jennifer Lawrence,JLA,,,,
APS,American Psycho,2024,2000,5,B-,,,,,,,,,,
ARR,Arrival,2024,2016,7,B+,,,,,,,,,,
BTM,The Batman,2024,2022,5,B-,,,,,,,,,,
BDR,Baby Driver,2024,2017,8,A-,,,,,,,,,,Nominee
BEE,The Beekeeper,2024,2024,1,F,,,,,,,,,,
BID,The Bourne Identity,2024,2022,8,A-,,,,,,,,,,
COM,The Color of Money,2024,1986,7,B+,Nominee,Paul Newman,PNE,,,,,,Nominee,
CSN,Casino,2024,1995,3,C,,,,,,,,,,
DBC,Dallas Buyers Club,2024,2013,5,B-,,,,,,,,,,
DJU,Django Unchained,2024,2012,7,B+,,,,,,,,,Nominee,
DN2,Dune Part Two,2024,2024,6,B,,,,,,,,,,
DPA,Dawn of the Planet of the Apes,2024,2014,7,B+,,,,,,,,,,
DPW,Deadpool & Wolverine,2024,2024,7,B+,Nominee,Ryan Reynolds,RRE,,,,Nominee,Bye bye bye to Logan,,
EEO,Everything Everywhere All at Once,2024,2022,8,A-,,,,Winner,Stephanie Hsu,SHS,,,Nominee,Nominee
FLG,Fall Guy,2024,2024,6,B,,,,,,,,,,
FRG,Fargo,2024,1996,5,B-,Nominee,Frances McDormand,FMC,,,,,,,
GD2,The Godfather Part II,2024,1974,6,B,,,,,,,,,,
GDF,The Godfather,2024,1972,8,A-,Winner,Marlon Brando,MBR,,,,,,,
GGR,Glengarry Glen Ross,2024,1992,3,C,,,,,,,,,,
GWH,Good Will Hunting,2024,1997,7,B+,,,,,,,,,,
HEA,Heat,2024,1995,4,C+,,,,,,,,,,
HST,Hustle,2024,2022,6,B,,,,,,,,,,
IMG,The Imitation Game,2024,2014,8,A-,,,,,,,,,,
JWS,Jaws,2024,1975,9,A,,,,,,,,,,Second
KSI,Kong: Skull Island,2024,2017,8,A-,,,,,,,,,,
LAC,L.A. Confidential,2024,1997,6,B,,,,,,,,,,
LOA,Lawrence of Arabia,2024,1997,7,B+,,,,,,,Winner,Lawrence Settles the Feud,,
LPR,Looper,2024,2012,6,B,,,,,,,,,,
MLG,Molly's Game,2024,2017,5,B-,,,,,,,,,,
MRT,The Martian,2024,2015,10,A+,,,,,,,Second,Rescuing the Pathfinder,,Winner
NCF,No Country For Old Men,2024,2007,6,B,,,,,,,,,,
OUT,Once Upon a Time in Hollywood,2024,2019,7,B+,,,,,,,,,,
PDD,Please Don't Destroy: The Treasure of Foggy Mountain,2024,2023,5,B-,,,,,,,,,,
PST,Parasite,2024,2019,6,B,,,,,,,,,,
PUF,Pulp Fiction,2024,1994,7,B+,,,,,,,Nominee,Shot of Adrenaline,,
RED,Reservoir Dogs,2024,1992,6,B,,,,,,,,,,
ROU,Rounders,2024,1998,9,A,,,,,,,Nominee,Atlantic City with Johnny Chan,Nominee,Nominee
SLT,Schindler's List,2024,1993,7,B+,,,,Second,Ralph Fiennes,RFI,,,,
SVN,Se7en,2024,1995,8,A-,,,,Nominee,Kevin Spacey,KSP,,,Second,
TRM,The Terminator,2024,1984,3,C,,,,,,,,,,
WPA,War for the Planet of the Apes,2024,2017,4,C+,,,,,,,,,,
