id,title,watched,release,rating,grade,actor,actorName,actorId,supporting,suppName,suppId,scene,sceneTitle,ending,movie
ASO,2001: A Space Odyssey,2023,1968,5,B-,,,,,,,,,,
3ID,3 Idiots,2023,2009,8,A-,,,,,,,,,,
AHV,A Haunting in Venice,2023,2023,1,F,,,,,,,,,,
AM3,Ant-Man and the Wasp: Quantumania,2023,2023,7,B+,,,,,,,,,,
BRB,Barbie,2023,2023,9,A,Winner,Ryan Gosling,RGO,,,,Winner,Ken Realizes the Patriarchy,,Nominee
BRD,Birdman,2023,2014,7,B+,Nominee,Michael Keaton,MKE,,,,,,,
BKK,BlacKkKlansman,2023,2018,3,C,,,,,,,,,,
BCS,Butch Cassidy and the Sundance Kid,2023,1969,5,B-,Nominee,Paul Newman,PNE,,,,Nominee,Butch Rides Bicycle,,
CAP,Captain Phillips,2023,2013,2,D,,,,,,,,,,
COC,Cocaine Bear,2023,2023,3,C,,,,,,,,,,
CRA,Crazy Rich Asians,2023,2018,8,A-,,,,,,,,,,
CRE,Creed,2023,2015,9,A,,,,,,,,,Nominee,
FLA,The Flash,2023,2023,8,A-,,,,,,,,,,
GG3,Guardians of the Galaxy: Volume 3,2023,2023,5,B-,,,,,,,,,,
ING,Inglourious Basterds,2023,2009,9,A,,,,"Winner,Nominee","Christoph Waltz,Michael Fassbender","CWA,MFA",Second,Tavern,Second,Nominee
ISR,Interstellar,2023,2014,10,A+,,,,,,,,,Nominee,Winner
JUR,Jurassic Park,2023,1993,9,A,,,,Nominee,Jeff Goldblum,JGO,,,,Nominee
MAN,Man of Steel,2023,2013,3,C,,,,,,,,,,
CM2,The Marvels,2023,2023,5,B-,,,,,,,,,,
MEM,Memento,2023,2000,8,A-,,,,,,,,,,
OPP,Oppenheimer,2023,2023,7,B+,,,,,,,,,Nominee,
PRE,The Prestige,2023,2006,10,A+,Nominee,Christian Bale,CBA,Nominee,Michael Caine,MCN,Nominee,The Transported Man,Winner,Second
RPA,Rise of the Planet of the Apes,2023,2011,9,A,Nominee,Andy Serkis,ASE,,,,Nominee,Caesar Speaks,,
RK1,Rocky,2023,1976,6,B,,,,,,,,,,
SHW,The Shawshank Redemption,2023,1994,8,A-,,,,,,,,,,
SHR,Shrek,2023,2001,3,C,,,,,,,,,,
SHU,Shutter Island,2023,2010,9,A,,,,,,,,,Nominee,
SIX,The Sixth Sense,2023,1999,8,A-,,,,Nominee,Haley Joel Osment,HJA,,,,
SV2,Spider-Man: Across the Spider-Verse,2023,2023,8,A-,,,,,,,Nominee,Miles is a Mistake,,
TEN,Tenet,2023,2020,1,F,,,,,,,,,,
WRD,War Dogs,2023,2016,5,B-,,,,,,,,,,
WTM,We're the Millers,2023,2013,5,B-,,,,,,,,,,
WHP,Whiplash,2023,2014,9,A,Second,Miles Teller,MTE,Second,JK Simmons,JKS,,,,Nominee
YRN,Your Name,2023,2016,5,B-,,,,,,,,,,
ABM,A Beautiful Mind,2024,2001,6,B,,,,,,,,,,
AMH,American Hustle,2024,2013,6,B,,,,Nominee,Jennifer Lawrence,JLA,,,,
APS,American Psycho,2024,2000,5,B-,,,,,,,,,,
ARR,Arrival,2024,2016,7,B+,,,,,,,,,,
BTM,The Batman,2024,2022,5,B-,,,,,,,,,,
BDR,Baby Driver,2024,2017,8,A-,,,,,,,,,,Nominee
BEE,The Beekeeper,2024,2024,1,F,,,,,,,,,,
BID,The Bourne Identity,2024,2022,8,A-,,,,,,,,,,
COM,The Color of Money,2024,1986,7,B+,Nominee,Paul Newman,PNE,,,,,,Nominee,
CSN,Casino,2024,1995,3,C,,,,,,,,,,
DBC,Dallas Buyers Club,2024,2013,5,B-,,,,,,,,,,
DJU,Django Unchained,2024,2012,7,B+,,,,,,,,,Nominee,
DN2,Dune Part Two,2024,2024,6,B,,,,,,,,,,
DPA,Dawn of the Planet of the Apes,2024,2014,7,B+,,,,,,,,,,
DPW,Deadpool & Wolverine,2024,2024,7,B+,Nominee,Ryan Reynolds,RRE,,,,Nominee,Bye bye bye to Logan,,
EEO,Everything Everywhere All at Once,2024,2022,8,A-,,,,Winner,Stephanie Hsu,SHS,,,Nominee,Nominee
FLG,Fall Guy,2024,2024,6,B,,,,,,,,,,
FRG,Fargo,2024,1996,5,B-,Nominee,Frances McDormand,FMC,,,,,,,
GD2,The Godfather Part II,2024,1974,6,B,,,,,,,,,,
GDF,The Godfather,2024,1972,8,A-,Winner,Marlon Brando,MBR,,,,,,,
GGR,Glengarry Glen Ross,2024,1992,3,C,,,,,,,,,,
GWH,Good Will Hunting,2024,1997,7,B+,,,,,,,,,,
HEA,Heat,2024,1995,4,C+,,,,,,,,,,
HST,Hustle,2024,2022,6,B,,,,,,,,,,
IMG,The Imitation Game,2024,2014,8,A-,,,,,,,,,,
JWS,Jaws,2024,1975,9,A,,,,,,,,,,Second
KSI,Kong: Skull Island,2024,2017,8,A-,,,,,,,,,,
LAC,L.A. Confidential,2024,1997,6,B,,,,,,,,,,
LOA,Lawrence of Arabia,2024,1997,7,B+,,,,,,,Winner,Lawrence Settles the Feud,,
LPR,Looper,2024,2012,6,B,,,,,,,,,,
MLG,Molly's Game,2024,2017,5,B-,,,,,,,,,,
MRT,The Martian,2024,2015,10,A+,,,,,,,Second,Rescuing the Pathfinder,,Winner
NCF,No Country For Old Men,2024,2007,6,B,,,,,,,,,,
OUT,Once Upon a Time in Hollywood,2024,2019,7,B+,,,,,,,,,,
PDD,Please Don't Destroy: The Treasure of Foggy Mountain,2024,2023,5,B-,,,,,,,,,,
PST,Parasite,2024,2019,6,B,,,,,,,,,,
PUF,Pulp Fiction,2024,1994,7,B+,,,,,,,Nominee,Shot of Adrenaline,,
RED,Reservoir Dogs,2024,1992,6,B,,,,,,,,,,
ROU,Rounders,2024,1998,9,A,,,,,,,Nominee,Atlantic City with Johnny Chan,Nominee,Nominee
SLT,Schindler's List,2024,1993,7,B+,,,,Second,Ralph Fiennes,RFI,,,,
SVN,Se7en,2024,1995,8,A-,,,,Nominee,Kevin Spacey,KSP,,,Second,
TRM,The Terminator,2024,1984,3,C,,,,,,,,,,
WPA,War for the Planet of the Apes,2024,2017,4,C+,,,,,,,,,,
WWD,What We Do in the Shadows,2024,2014,8,A-,Second,Taika Waititi,TWA,Nominee,Jonny Brugh,JBR,,,,
ZDC,Zodiac,2024,2007,9,A,Nominee,Jake Gyllenhaal,JGY,Nominee,John Carroll Lynch,JCA,Nominee,Jake Hears Footsteps,Winner,Nominee
APM,All the President's Men,2025,1976,8,A-,Nominee,Robert Redford,RRD,,,,,,,
AHX,American History X,2025,1998,8,A-,,,,,,,,,Winner,
BIS,Best in Show,2025,2000,8,A-,,,,Nominee,John Michael Higgins,JMI,Nominee,Cookie's Old Flame,,
BGN,Boogie Nights,2025,1997,6,B,,,,Nominee,Burt Reynolds,BRE,,,,
CDC,The Cabinet of Dr. Caligari,2025,1920,5,B-,,,,,,,,,,
CA4,Captain America: Brave New World,2025,2025,6,B,,,,,,,,,,
CHT,Chinatown,2025,1974,6,B,,,,,,,,,,
CON,Contact,2025,1997,9,A,,,,,,,,,Second,Nominee
CHD,"Crouching Tiger, Hidden Dragon",2025,2000,6,B,Nominee,Michelle Yeoh,MYE,,,,,,,
DRT,Do the Right Thing,2025,1989,7,B+,,,,Nominee,Danny Aiello,DAI,,,,
ESM,Eternal Sunshine of the Spotless Mind,2025,2004,9,A,Winner,Kate Winslet,KWI,,,,Nominee,In Joel's Mind,,Nominee
F1M,F1,2025,2025,4,C+,,,,,,,,,,
FFF,Fantastic Four: First Steps,2025,2025,7,B+,,,,,,,,,,
FGP,Forrest Gump,2025,1994,5,B-,,,,,,,,,,
IWL,It's a Wonderful Life,2025,1946,6,B,,,,,,,,,,
KB1,Kill Bill Vol. 1,2025,2003,5,B-,,,,,,,,,,
LVA,Love Actually,2025,2003,6,B,,,,,,,,,,
MRM,Marathon Man,2025,1976,7,B+,,,,,,,Nominee,Diamond District,,
TMM,The Mummy,2025,1999,7,B+,,,,,,,,,,
NLC,National Lampoon's Christmas Vacation,2025,1989,3,C,,,,,,,,,,
CKN,One Flew Over the Cuckoo's Nest,2025,1975,6,B,,,,,,,,,,
PRN,Prisoners,2025,2013,6,B,,,,,,,,,,
RGB,Raging Bull,2025,1980,4,C+,,,,,,,,,,
RBS,The Real Bros of Simi Valley: The Movie,2025,2025,8,A-,Nominee,Jimmy Tatro,JTA,,,,,,,
SOL,Silence of the Lambs,2025,1991,10,A+,Nominee,Jodie Foster,JFO,Winner,Anthony Hopkins,AHO,Winner,Lecter Escapes,Nominee,Winner
SIN,Sinners,2025,2025,8,A-,Second,Michael B. Jordan,MBJ,Nominee,Miles Caton,MCA,,,Nominee,
STA,State and Main,2025,2000,8,A-,,,,Second,Alec Baldwin,ABA,,,,Nominee
TM2,Terminator 2: Judgment Day,2025,1991,5,B-,,,,,,,,,,
THG,The Thing,2025,1982,7,B+,,,,,,,,,,
THN,Thunderbolts,2025,2025,7,B+,,,,,,,,,,
TIT,Titanic,2025,1997,9,A,,,,,,,Second,Draw Me Like One of Your French Girls,,Second
TG1,Top Gun,2025,1986,5,B-,,,,,,,,,,
TG2,Top Gun: Maverick,2025,2022,9,A,,,,,,,Nominee,Final Mission,Nominee,Nominee
VRT,Vertigo,2025,1958,7,B+,,,,,,,,,Nominee,
KO3,Wake Up Dead Man: A Knives Out Mystery,2025,2025,6,B,,,,,,,,,,
